City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,andijon,40.7821,72.3442,69.08,32,59,3.62,UZ,1683081840
273,saint-augustin,51.226,-58.6502,36.91,77,64,6.91,CA,1683081791
274,nyurba,63.2842,118.3319,30.51,81,41,8.48,RU,1683081840
275,kramat,-8.1311,113.4499,85.48,72,36,1.9,ID,1683081840
276,hohhot,40.8106,111.6522,75.49,29,0,6.71,CN,1683081841
277,perth,-31.9333,115.8333,77.18,43,0,11.5,AU,1683081725
278,gizo,-8.103,156.8419,84.45,73,80,4.61,SB,1683081841
279,north platte,41.1239,-100.7654,60.12,29,0,8.01,US,1683081841
280,valera,9.3178,-70.6036,72.86,69,19,7.14,VE,1683081842
281,bima,-8.4667,118.7167,88.36,64,84,2.06,ID,1683081842
282,mount gambier,-37.8333,140.7667,56.08,64,100,15.86,AU,1683081842
283,xinxiang,35.3089,113.8672,64.85,96,100,8.19,CN,1683081842
284,roebourne,-20.7833,117.1333,87.49,29,0,16.78,AU,1683081843
285,ola,59.5833,151.2833,43.14,67,95,3.94,RU,1683081843
286,fenoarivo,-18.933,47.4354,59.07,100,75,3.44,MG,1683081843
287,luderitz,-26.6481,15.1594,56.77,61,27,10.56,NA,1683081844
288,tommot,58.9564,126.2925,35.56,98,100,12.21,RU,1683081844
289,luanda,-8.8368,13.2343,78.8,89,75,4.61,AO,1683081844
290,nynashamn,58.9034,17.9479,38.1,87,98,9.04,SE,1683081844
291,mareeba,-17.0,145.4333,84.43,67,85,7.99,AU,1683081617
292,srednekolymsk,67.45,153.6833,22.71,77,100,5.59,RU,1683081845
293,hovd,48.0056,91.6419,35.15,29,0,6.76,MN,1683081846
294,mecca,21.4267,39.8261,79.32,30,22,4.36,SA,1683081846
295,touros,-5.1989,-35.4608,78.06,79,1,8.28,BR,1683081846
296,waingapu,-9.6567,120.2641,84.6,70,57,17.63,ID,1683081847
297,coahuayana,18.7333,-103.6833,72.59,63,1,2.91,MX,1683081847
298,contamana,-7.3333,-75.0167,73.78,97,100,2.15,PE,1683081847
299,lata,40.1629,-8.3327,65.91,59,63,2.37,PT,1683081847
300,san matias,-16.3667,-58.4,73.8,90,1,1.99,BO,1683081847
301,vila,42.0304,-8.1588,59.88,70,100,4.9,PT,1683081848
302,faya,18.3851,42.4509,60.91,60,98,3.71,SA,1683081848
303,nishihara,26.1842,127.7558,78.46,75,100,18.41,JP,1683081848
304,veliki preslav,43.1667,26.8167,43.66,76,100,3.71,BG,1683081848
305,carndonagh,55.25,-7.2667,49.46,89,100,5.79,IE,1683081849
306,ibra,22.6906,58.5334,79.61,58,0,4.23,OM,1683081849
307,berlevag,70.8578,29.0864,31.95,93,100,10.36,NO,1683081849
308,san jose,37.3394,-121.895,55.94,72,75,15.99,US,1683081595
309,saint-joseph,-21.3667,55.6167,71.98,84,73,7.63,RE,1683081849
310,erdemli,36.605,34.3084,63.57,36,3,7.61,TR,1683081850
311,tigil,57.8,158.6667,38.46,66,20,4.92,RU,1683081850
312,abuyog,10.6667,125.05,78.31,95,100,7.47,PH,1683081850
313,dingle,10.9995,122.6711,83.34,78,100,9.8,PH,1683081850
314,houma,29.5958,-90.7195,73.0,69,0,0.0,US,1683081660
315,somerset,40.5668,-74.5496,52.29,69,0,1.99,US,1683081713
316,palimbang,6.2106,124.1894,85.69,69,99,3.67,PH,1683081851
317,walvis bay,-22.9575,14.5053,57.09,69,11,6.04,NA,1683081851
318,arica,-18.475,-70.3042,68.23,68,100,6.91,CL,1683081851
319,kieta,-6.2167,155.6333,84.99,74,88,5.41,PG,1683081852
320,sarkikaraagac,38.0794,31.3664,45.93,52,37,3.53,TR,1683081852
321,port-cartier,50.0334,-66.8654,35.82,99,100,14.72,CA,1683081853
322,harqalah,36.0303,10.509,60.66,72,20,4.61,TN,1683081853
323,shimoda,34.6667,138.95,70.16,56,16,12.37,JP,1683081853
324,homer,59.6425,-151.5483,39.79,86,100,17.0,US,1683081854
325,bow island,49.8668,-111.3684,73.58,30,1,5.75,CA,1683081854
326,oro valley,32.3909,-110.9665,82.58,21,9,7.0,US,1683081706
327,windhoek,-22.5594,17.0832,64.42,65,49,3.8,NA,1683081854
328,bambous virieux,-20.3428,57.7575,74.21,94,75,2.3,MU,1683081855
329,dong hoi,17.4833,106.6,84.88,70,94,5.48,VN,1683081620
330,sisimiut,66.9395,-53.6735,30.29,72,100,8.16,GL,1683081855
331,mokhsogollokh,61.4681,128.9203,36.54,91,100,8.81,RU,1683081855
332,lompoc,34.6391,-120.4579,55.81,76,40,10.36,US,1683081855
333,eyl,7.9803,49.8164,83.73,76,100,11.25,SO,1683081856
334,praia da vitoria,38.7333,-27.0667,59.76,82,20,12.01,PT,1683081856
335,hukuntsi,-24.0,21.75,68.74,45,68,8.88,BW,1683081856
336,mount hagen,-5.8581,144.2274,72.36,68,75,8.05,PG,1683081856
337,solina,44.5603,18.6947,47.44,100,100,1.14,BA,1683081856
338,vostok,46.4856,135.8833,63.91,39,11,13.44,RU,1683081857
339,udachnyy,66.4167,112.4,30.45,36,75,9.17,RU,1683081857
340,ukiah,39.1502,-123.2078,51.66,85,71,2.1,US,1683081857
341,los llanos de aridane,28.6585,-17.9182,67.12,64,0,5.99,ES,1683081674
342,yulara,-25.2406,130.9889,72.32,31,40,15.43,AU,1683081858
343,ugra,54.7777,34.3267,48.88,78,100,9.04,RU,1683081858
344,tauberbischofsheim,49.6247,9.6628,44.31,93,5,5.68,DE,1683081858
345,pobe,6.9801,2.6649,73.63,93,96,1.54,BJ,1683081858
346,cabo san lucas,22.8909,-109.9124,79.9,63,75,12.66,MX,1683081858
347,camopi,3.1655,-52.3158,71.98,99,93,2.28,GF,1683081859
348,kapoeta,4.7717,33.5903,75.0,70,100,2.93,SS,1683081859
349,labuan,5.2767,115.2417,86.36,74,40,1.14,MY,1683081859
350,ambon,-3.6954,128.1814,86.14,76,40,3.44,ID,1683081805
351,methoni,36.8197,21.7049,62.22,87,63,19.73,GR,1683081860
352,teguldet,57.3064,88.1667,43.38,62,89,7.23,RU,1683081860
353,fortuna,40.5982,-124.1573,52.14,93,82,1.99,US,1683081860
354,flinders,-34.5833,150.8552,73.38,45,19,11.01,AU,1683081860
355,requena,39.4883,-1.1004,52.79,30,100,2.75,ES,1683081860
356,ypsonas,34.6884,32.9574,61.65,48,0,3.44,CY,1683081861
357,clinton,42.587,-82.9199,40.89,84,100,11.5,US,1683081598
358,ferrol,43.4832,-8.2369,66.67,79,100,4.03,ES,1683081861
359,cidreira,-30.1811,-50.2056,66.76,90,100,17.22,BR,1683081861
360,moyale,3.5167,39.0584,64.89,92,99,2.89,KE,1683081862
361,walla walla,46.0646,-118.343,67.05,61,0,3.0,US,1683081643
362,kapit,2.0167,112.9333,91.58,56,73,0.67,MY,1683081862
363,pangkalanbuun,-2.6833,111.6167,91.6,54,74,2.48,ID,1683081862
364,banda aceh,5.5577,95.3222,85.32,70,90,6.69,ID,1683081862
365,north bend,43.4065,-124.2243,55.31,71,0,3.44,US,1683081863
